session_start,duration_s,direction,outcome
2026-09-02 17:06,127,SELL,TIME
2026-09-02 17:09,170,SELL,TIME
2026-09-02 17:14,153,BUY,TIME
2026-09-02 17:17,170,BUY,TIME
2026-09-02 22:33,61,BUY,TIME
2026-09-02 22:40,60,BUY,TIME
2026-09-02 23:07,793,BUY,LOSS
2026-09-02 23:20,1031,BUY,WIN
2026-09-02 23:38,675,BUY,LOSS
2026-09-02 23:49,1655,BUY,LOSS
2026-09-03 0:17,588,BUY,LOSS
2026-09-03 00:27:48,750,BUY,LOSS
2026-09-03 00:40:33,716,BUY,LOSS
2026-09-03 00:52:44,987,BUY,LOSS
2026-09-03 01:09:26,1342,BUY,LOSS
2026-09-03 01:32:02,1768,BUY,LOSS
2026-09-03 02:01:45,625,BUY,LOSS
2026-09-03 02:12:25,868,BUY,LOSS
2026-09-03 02:27:08,590,BUY,LOSS
2026-09-03 02:37:13,2631,BUY,LOSS
2026-09-03 03:21:18,1460,BUY,WIN
2026-09-03 03:45:53,463,BUY,LOSS
2026-09-03 03:53:51,406,BUY,LOSS
2026-09-03 04:00:51,1138,BUY,LOSS
2026-09-03 04:20:04,384,SELL,LOSS
2026-09-03 04:26:43,1241,SELL,LOSS
2026-09-03 04:47:39,4640,SELL,LOSS
2026-09-03 06:05:14,491,SELL,LOSS
2026-09-03 06:13:40,305,SELL,LOSS
2026-09-03 06:18:59,1132,SELL,LOSS
2026-09-03 06:38:06,1935,SELL,LOSS
2026-09-03 07:10:36,765,SELL,LOSS
2026-09-03 07:23:36,403,SELL,LOSS
2026-09-03 07:30:33,431,SELL,LOSS
2026-09-03 07:37:59,1163,SELL,LOSS
2026-09-03 07:57:37,185,BUY,LOSS
2026-09-03 08:00:58,494,BUY,LOSS
2026-09-03 08:09:26,152,SELL,LOSS
2026-09-03 08:12:13,173,SELL,LOSS
2026-09-03 08:15:21,492,SELL,WIN
2026-09-03 08:23:48,300,SELL,LOSS
2026-09-03 08:29:03,212,SELL,LOSS
2026-09-03 10:36:57,60,BUY,TIME
2026-09-04 17:13:29,126,SELL,TIME
2026-09-04 17:15:40,129,SELL,TIME
2026-09-04 17:14:54,181,SELL,TIME
2026-09-04 17:17:54,127,SELL,TIME
2026-09-04 17:18:05,186,SELL,TIME
2026-09-04 17:21:22,187,SELL,TIME
2026-09-04 17:24:39,186,SELL,TIME
2026-09-04 17:27:55,185,SELL,TIME
2026-09-05 19:30:33,btc_donchian_m5,TIME,7205,0,0,0
